dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
dSprites,B5_fixed32,42,1.0,32,32,64,0.0011661780774593353,0.0012827958852052689,0.0012058041840791703,0.0011949124733606974,True,300.85364055633545,253.12427306175232,553.9779136180878,SUCCESS,False,False,True,0.0,
dSprites,B5_fixed32,123,1.0,32,32,64,0.001138049766421318,0.00125185474306345,0.0012023587822914124,0.0011807373762130738,True,257.73280668258667,235.1435785293579,492.8763852119446,SUCCESS,False,False,True,0.0,
dSprites,B5_fixed32,777,1.0,32,32,64,0.0012045322060585022,0.0013249854266643524,0.0011675848215818405,0.0011483644843101502,True,219.167742729187,237.41397619247437,456.5817189216614,SUCCESS,False,False,True,0.0,
dSprites,B5_fixed32,2024,1.0,32,32,64,0.00116694313287735,0.001283637446165085,0.001214679643511772,0.0012085370322068533,True,223.58219361305237,238.429931640625,462.01212525367737,SUCCESS,False,False,True,0.0,
dSprites,B5_fixed32,31337,1.0,32,32,64,0.0011734385192394257,0.0012907823711633684,0.0013131544291973113,0.001296436846256256,False,287.65005922317505,223.92378115653992,511.57384037971497,SUCCESS,False,False,True,0.0,
dSprites,B6a_fondue,42,1.0,5,5,64,0.0011661780774593353,0.0012827958852052689,0.003194322228431702,0.0031783090829849243,False,167.6730649471283,253.12427306175232,420.7973380088806,SUCCESS,False,False,True,0.0,
dSprites,B6a_fondue,123,1.0,4,4,64,0.001138049766421318,0.00125185474306345,0.005738624572753906,0.005569814602533976,False,139.13136911392212,235.1435785293579,374.27494764328003,SUCCESS,False,False,True,0.0,
dSprites,B6a_fondue,777,1.0,4,4,64,0.0012045322060585022,0.0013249854266643524,0.006227087497711181,0.006137393991152445,False,138.00329303741455,237.41397619247437,375.4172692298889,SUCCESS,False,False,True,0.0,
dSprites,B6a_fondue,2024,1.0,4,4,64,0.00116694313287735,0.001283637446165085,0.006272036671638489,0.0062215158144632975,False,113.86109495162964,238.429931640625,352.29102659225464,SUCCESS,False,False,True,0.0,
dSprites,B6a_fondue,31337,1.0,4,4,64,0.0011734385192394257,0.0012907823711633684,0.0060902277231216434,0.006014536102612813,False,145.02403807640076,223.92378115653992,368.9478192329407,SUCCESS,False,False,True,0.0,
dSprites,B6b_fondue_var,42,1.0,0,,64,0.0011661780774593353,0.0012827958852052689,,,False,1.1003727912902832,253.12427306175232,254.2246458530426,DEGENERATE_SELECTION,False,False,False,0.0,
dSprites,B6b_fondue_var,123,1.0,114,114,64,0.001138049766421318,0.00125185474306345,0.0011028150618076324,0.001102010856072108,True,304.8657371997833,235.1435785293579,540.0093157291412,SUCCESS,False,False,False,0.0,
dSprites,B6b_fondue_var,777,1.0,1,1,64,0.0012045322060585022,0.0013249854266643524,0.01743708872795105,0.017714587529500326,False,173.78371667861938,237.41397619247437,411.19769287109375,SUCCESS,False,False,True,0.0,
dSprites,B6b_fondue_var,2024,1.0,14,14,64,0.00116694313287735,0.001283637446165085,0.0013464214503765106,0.0013113853335380554,False,272.8064498901367,238.429931640625,511.2363815307617,SUCCESS,False,False,True,0.0,
dSprites,B6b_fondue_var,31337,1.0,1,1,64,0.0011734385192394257,0.0012907823711633684,0.01768085241317749,0.018010844389597574,False,120.07664799690247,223.92378115653992,344.0004291534424,SUCCESS,False,False,True,0.0,
dSprites,B6b_fondue_var_keepmixed_false,42,1.0,0,,64,0.0011661780774593353,0.0012827958852052689,,,False,1.1003727912902832,253.12427306175232,254.2246458530426,DEGENERATE_SELECTION,False,False,False,0.0,
dSprites,B6b_fondue_var_keepmixed_false,123,1.0,0,,64,0.001138049766421318,0.00125185474306345,,,False,1.1133391857147217,235.1435785293579,236.25691771507263,DEGENERATE_SELECTION,False,False,False,0.0,
